time_elapsed,population_size,average_fitness
0,164,0.7625031287633168
1,138,0.7870236253761534
2,236,0.8153292032767535
3,200,0.8485625533922699
4,187,0.8624392681617826
5,152,0.9142820826663213
6,126,0.9639262434315209
7,111,1.0171947841246183
8,198,1.072195268581434
9,177,1.1267868120034894
10,154,1.168191995686642
11,133,1.2225331184000061
12,99,1.2997439491323026
13,81,1.3337451670735503
14,69,1.4118483199061005
15,124,1.4510997102978431
16,121,1.4520366157112985
17,115,1.4897020159813177
18,168,1.5267354439069196
19,154,1.533924423237605
20,143,1.5617576109036928
21,139,1.5699449876514975
22,136,1.5726160598618244
23,268,1.580183991273082
24,268,1.580183991273082
25,241,1.5874548199654614
26,226,1.5932674877087651
27,219,1.5952138494681445
28,176,1.590567908672203
29,155,1.593688270959415
30,286,1.5996635959002883
31,281,1.5991758971548726
32,280,1.5983983189517623
33,213,1.6041703860298178
34,179,1.603695945610911
35,326,1.6031115674543055
36,317,1.6003971163194952
37,314,1.6009669725095688
38,311,1.6011672341195708
39,309,1.601162798463653
40,474,1.6056142337401076
41,438,1.604341589814682
42,420,1.6041706859396674
43,410,1.605654560047947
44,405,1.604747237153113
45,322,1.6004644113238142
46,280,1.603179848339227
47,518,1.6077057698996244
48,507,1.607265125414999
49,501,1.607071122687739
50,380,1.6092966583521475
51,320,1.6098023155180443
52,578,1.6090669203002896
53,563,1.6101763265456042
54,555,1.609561667686133
55,551,1.6089910812093968
56,549,1.608194737973043
57,419,1.6111856620880112
58,708,1.6092277227589062
59,676,1.6094005494866381
60,661,1.611576167515049
61,653,1.609845072644162
62,504,1.6097536435934159
63,430,1.6078691285444082
64,392,1.6082886559437932
65,746,1.607922834191478
66,737,1.6064324190736783
67,732,1.6073953178426161
68,553,1.6072434385479677
69,464,1.611074746917297
70,838,1.606908429102756
71,815,1.6057203509927644
72,803,1.6059207030728813
73,797,1.606705241930653
74,794,1.6071924918778981
75,607,1.6090979859189378
76,513,1.6067791467442138
77,932,1.6108069239400664
78,909,1.609056124523654
79,898,1.6082758613035772
80,683,1.6098474831149618
81,575,1.6131001164917453
82,521,1.610723957046032
83,988,1.60872874040646
84,974,1.6084815805244626
85,967,1.6094539993245076
86,964,1.609615550615209
87,729,1.6081997738715843
88,612,1.6077464514889803
89,1108,1.6075289989874137
90,1078,1.6096579217709124
91,1064,1.608874067959798
92,1056,1.6085552138444363
93,805,1.6104381430813672
94,680,1.6089659948664405
95,617,1.611457960143236
96,586,1.6109511942034411
97,1142,1.610383508662212
98,1134,1.6103648264119743
99,853,1.6153994572316521
100,713,1.6119092876697287
101,643,1.6082650820604605
102,608,1.613390314898943
103,590,1.6129201601472636
104,581,1.6121742589776686
105,576,1.6122992635970868
106,574,1.6118724233948882
107,288,1.6271413860552684
108,288,1.6167513249601977
109,217,1.6084771718492756
110,181,1.6004115233201885
111,163,1.604750959772198
112,154,1.6107843894495277
113,149,1.6123471081871061
114,146,1.6125327497584736
115,145,1.6146274905482958
116,288,1.6167513249601977
117,288,1.6167513249601977
118,217,1.6079192003383862
119,181,1.624001650581571
120,163,1.6242144883524885
121,154,1.622060464809062
122,149,1.6228754560167244
123,147,1.6213526404301755
124,146,1.6188101751752242
125,290,1.6177878495512104
126,218,1.608649146165536
127,183,1.6255649920031605
128,165,1.6200646673942325
129,157,1.6239675212851425
130,152,1.6241698122117427
131,150,1.6199542112000787
132,149,1.6209132848618035
133,296,1.620813380789842
134,295,1.6203176722818176
135,223,1.6122006763110848
136,186,1.6042400153568612
137,168,1.6088604974898237
138,158,1.6139740868353953
139,153,1.6156001886578035
140,151,1.6176491285961743
141,149,1.6187192999471884
142,296,1.620813380789842
143,222,1.6301235929908793
144,186,1.6301601165949529
145,167,1.6289526374464265
146,158,1.6230367639059526
147,153,1.623011314553165
148,151,1.6227569014348382
149,150,1.6242665354347128
150,298,1.6217948170976753
151,298,1.6217948170976753
152,225,1.6319492436264278
153,188,1.631616364191358
154,171,1.6264518196060394
155,162,1.6290799800151528
156,158,1.6321432148710728
157,155,1.628198657479736
158,153,1.6255922700011896
159,304,1.6246616442073993
160,230,1.6348861598662237
161,194,1.6358049526387495
162,174,1.634508173495128
163,164,1.6283054453724548
164,159,1.6284466381797265
165,157,1.6282711876471516
166,155,1.6288723694741425
167,308,1.6265108097457062
168,307,1.6260530358665162
169,231,1.6354582864064433
170,194,1.6358049526387495
171,175,1.6352655404503387
172,165,1.6291463056469067
173,160,1.6293128928827094
174,158,1.629149518045948
175,156,1.6297581067894176
176,310,1.6276150197088197
177,233,1.6191092560115226
178,196,1.6128589218861684
179,176,1.6233645765244042
180,166,1.6242040672769735
181,161,1.6286676269647888
182,159,1.6262838028355382
183,158,1.6282932235165597
184,314,1.6295862343920533
185,313,1.6291470613688426
186,236,1.6212492828364342
187,197,1.6359304006726865
188,177,1.6358579491378333
189,167,1.6337135304543677
190,162,1.6348227836529379
191,159,1.6327335770934768
192,158,1.6304562417101887
193,314,1.6295862343920533
194,236,1.638505648474221
195,198,1.6331208672229873
196,178,1.6297519323245198
197,168,1.632633317816524
198,163,1.6305090715851245
199,160,1.6300563045872754
200,159,1.6320768138284896
201,316,1.6306068985163376
202,316,1.6306068985163376
203,239,1.6403183379189583
204,200,1.6346981702110468
205,179,1.630784910028857
206,169,1.6337103688436503
207,164,1.6316319122547327
208,161,1.6312028799712106
209,160,1.6332179271258167
210,318,1.6318697350708706
211,239,1.6406576412215368
212,201,1.6357600742397145
213,181,1.6370387688321966
214,171,1.6332997668741602
215,165,1.6346869079222577
216,162,1.6339057104648183
217,161,1.631678090233836
218,320,1.632968012572397
219,320,1.632968012572397
220,242,1.6425595533604735
221,202,1.636410011449701
222,183,1.6384596280871127
223,173,1.6348459821780084
224,167,1.636272063404111
225,164,1.6355293894915524
226,163,1.6333390632451632
227,324,1.6347315357647962
228,244,1.6437236503956862
229,205,1.6384928218868757
230,185,1.6400393012067809
231,175,1.6365572211434758
232,169,1.6380271797147894
233,166,1.6373251726501652
234,164,1.6343681628147404
235,326,1.6358454250796666
236,326,1.6358454250796666
237,246,1.6451266735151413
238,206,1.6395950101181056
239,187,1.6419243941787791
240,176,1.637858280100162
241,170,1.6393655115842334
242,167,1.6384817859607717
243,166,1.6363488294445536
244,330,1.6378389574378183
245,249,1.6471299665565322
246,209,1.642061110393213
247,189,1.643952456659399
248,178,1.6397009982581954
249,172,1.6412549846607551
250,169,1.6404152582708822
251,167,1.6375483753860425
252,332,1.6388270371891875
253,332,1.6388270371891875
254,251,1.6480854838800418
255,210,1.642656283156374
256,188,1.6386337272248632
257,177,1.6411448969888631
258,172,1.639379232803651
259,169,1.6391080361409274
260,168,1.641074183170134
261,334,1.6395948237368991
262,251,1.6480854838800418
263,211,1.643245814471543
264,190,1.6446003247330703
265,181,1.6461531179817732
266,175,1.6415803892533078
267,172,1.6413128816439195
268,170,1.6418439866825503
269,338,1.6411031381383205
270,338,1.6411031381383205
271,256,1.6504089586217796
272,214,1.6449813505862925
273,193,1.6419605060702558
274,182,1.6446037567050207
275,176,1.6422807818457728
276,173,1.6420661715054612
277,171,1.6432842394418337
278,340,1.6418439866825483
279,256,1.6504089586217796
280,215,1.6455490996098772
281,193,1.6419605060702556
282,182,1.6446037567050211
283,176,1.6422807818457728
284,173,1.6420661715054612
285,172,1.644003792646573
286,342,1.6425761703315216
287,342,1.6425761703315216
288,258,1.6513131325135255
289,216,1.6461115916980584
290,196,1.648348704302171
291,184,1.6438535980103308
292,178,1.6454951781213034
293,175,1.6447569313812638
294,174,1.6427581058854495
295,346,1.644015143976903
296,261,1.6526434113427613
297,219,1.6477682464783177
298,198,1.6495476809320178
299,188,1.6506545004750002
300,181,1.6457395163716628
301,178,1.6455511235207654
302,176,1.646112284545316
303,350,1.6454212267961044
304,350,1.6454212267961044
305,265,1.6543702638607125
306,222,1.6493801268050572
307,201,1.6513014079428385
308,189,1.6471126930538937
309,183,1.6488162768244647
310,180,1.648153888583368
311,179,1.6462298736164986
312,356,1.6474711059622993
313,268,1.6556315749815669
314,224,1.655342548239403
315,201,1.654093316022756
316,190,1.649175684120248
317,184,1.6492242120743694
318,181,1.6486506553649354
319,180,1.6500525378866646
320,358,1.648139129899141
321,357,1.6478060535384746
322,268,1.6402029972765773
323,223,1.633133107722469
324,201,1.6427123039435831
325,190,1.643809660008871
326,184,1.64757826513251
327,181,1.6450330944930633
328,180,1.6469010820445016
329,358,1.648139129899141
330,269,1.6560457601699516
331,225,1.6558390142057036
332,203,1.6552061640487097
333,193,1.6510078868125293
334,187,1.6511144234954813
335,184,1.6500135077928877
336,182,1.6507644298998936
337,362,1.6494530333329296
338,362,1.6494530333329296
339,274,1.658071337368621
340,229,1.6577815185978664
341,208,1.6578946550729476
342,196,1.652784001667292
343,190,1.6512540324547094
344,186,1.6499147962053615
345,184,1.6506564831635138
346,366,1.6507512011869878
347,276,1.6588782363246566
348,232,1.6592149221386703
349,209,1.6584396538331059
350,197,1.6574637793378748
351,190,1.6525465232621734
352,187,1.65253718782051
353,185,1.6506447541797749
354,368,1.6513961587528276
355,368,1.6513961587528276
356,278,1.6596735252237704
357,232,1.65921492213867
358,210,1.6589568335322673
359,198,1.6580172319202944
360,192,1.6537392406308697
361,189,1.6537489359986741
362,188,1.6525022430597307
363,374,1.6532515261095793
